"Sed_ID";"2000";"500";"250";"63";"0";"sedID";"Sediment";"Texture";"D50(um)";"Mean.fw.phi";"Mean.fw.um";"Sand";"mud";"sed_Id";"Sed_class1";"Sed_class"
3729;0;0.38;3.72;82.51;13.39;"X3729";"Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand";116.129;3.106;45.055;86.609;13.391;"3729";"Very Fine Sand";"Very Fine Sand"
3735;0;0.64;1.75;73.37;24.24;"X3735";"Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand";102.212;3.897;9.034;75.758;24.242;"3735";"Very Fine Sand";"Very Fine Sand"
3738;0;0.28;0.76;64.33;34.63;"X3738";"Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic";"Muddy Sand";87.575;4.399;3.32;65.373;34.627;"3738";"Very Coarse Silt";"Very Coarse Silt"
3740;0;0.14;0.87;97.7;1.3;"X3740";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";125.235;2.997;56.992;98.699;1.301;"3740";"Fine Sand";"Fine Sand"
3741;0;0.38;1.62;84.75;13.25;"X3741";"Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand";114.528;3.126;44.058;86.749;13.251;"3741";"Very Fine Sand";"Very Fine Sand"
3743;0;0.15;0.65;91.5;7.71;"X3743";"Very Fine Sand,Moderately Sorted,Fine Skewed,Very Leptokurtic";"Sand";119.135;3.069;49.637;92.295;7.705;"3743";"Very Fine Sand";"Very Fine Sand"
3744;0;0.11;0.61;87.91;11.37;"X3744";"Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand";115.444;3.115;45.484;88.629;11.371;"3744";"Very Fine Sand";"Very Fine Sand"
3746;0;1.96;8.05;58.66;31.32;"X3746";"Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic";"Muddy Sand";97.706;4.163;4.819;68.677;31.323;"3746";"Very Coarse Silt";"Very Coarse Silt"
3753;0;0.05;0.44;97.33;2.17;"X3753";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";124.023;3.011;55.646;97.83;2.17;"3753";"Very Fine Sand";"Very Fine Sand"
3754;0;0.2;0.75;85.09;13.97;"X3754";"Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand";112.941;3.146;42.709;86.034;13.966;"3754";"Very Fine Sand";"Very Fine Sand"
3756;0;0.24;0.58;87.36;11.82;"X3756";"Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand";115.065;3.119;45.036;88.18;11.82;"3756";"Very Fine Sand";"Very Fine Sand"
3759;0;0.09;0.78;97.27;1.86;"X3759";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";124.621;3.004;56.262;98.138;1.862;"3759";"Very Fine Sand";"Very Fine Sand"
3761;0.04;0.06;0.42;96.47;3.01;"X3761";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Slightly Gravelly Sand";123.287;3.02;54.722;96.951;3.009;"3761";"Very Fine Sand";"Very Fine Sand"
3762;0;0.17;0.48;81.08;18.27;"X3762";"Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand";108.044;3.441;23.427;81.731;18.269;"3762";"Very Fine Sand";"Very Fine Sand"
3772;0;0.12;0.46;89.11;10.3;"X3772";"Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic";"Muddy Sand";116.418;3.103;46.608;89.701;10.299;"3772";"Very Fine Sand";"Very Fine Sand"
3774;0;0.64;1.73;71.6;26.03;"X3774";"Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand";99.939;4.002;7.296;73.969;26.031;"3774";"Very Coarse Silt";"Very Coarse Silt"
3776;0;0.1;0.15;96.62;3.13;"X3776";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";122.95;3.024;54.401;96.874;3.126;"3776";"Very Fine Sand";"Very Fine Sand"
3779;0;0.07;0.53;93.47;5.93;"X3779";"Very Fine Sand,Moderately Sorted,Fine Skewed,Mesokurtic";"Sand";120.667;3.051;51.507;94.07;5.93;"3779";"Very Fine Sand";"Very Fine Sand"
3783;0;0.26;0.56;94.51;4.67;"X3783";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";122.014;3.035;53.056;95.326;4.674;"3783";"Very Fine Sand";"Very Fine Sand"
3789;0;0.24;0.73;85.16;13.87;"X3789";"Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand";113.058;3.145;42.826;86.13;13.87;"3789";"Very Fine Sand";"Very Fine Sand"
3791;0;0.05;0.67;98.86;0.43;"X3791";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";125.752;2.991;57.759;99.574;0.426;"3791";"Fine Sand";"Fine Sand"
3797;0;0.36;1.1;87.99;10.55;"X3797";"Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic";"Muddy Sand";116.875;3.097;46.826;89.451;10.549;"3797";"Very Fine Sand";"Very Fine Sand"
3802;0;0.09;1.15;97.22;1.54;"X3802";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";125.229;2.997;56.896;98.457;1.543;"3802";"Fine Sand";"Fine Sand"
3803;0;0.16;0.22;89.4;10.22;"X3803";"Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic";"Muddy Sand";116.329;3.104;46.576;89.777;10.223;"3803";"Very Fine Sand";"Very Fine Sand"
3805;0;0.14;0.83;90.49;8.54;"X3805";"Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic";"Sand";118.47;3.077;48.807;91.462;8.538;"3805";"Very Fine Sand";"Very Fine Sand"
3807;0;0.17;3.05;90.19;6.59;"X3807";"Very Fine Sand,Moderately Sorted,Fine Skewed,Leptokurtic";"Sand";122.31;3.031;52.518;93.412;6.588;"3807";"Very Fine Sand";"Very Fine Sand"
3808;0;0.17;3.64;96.02;0.17;"X3808";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";128.823;2.957;60.536;99.831;0.169;"3808";"Fine Sand";"Fine Sand"
3809;0;0.12;3.31;93.89;2.69;"X3809";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";126.181;2.986;57.254;97.314;2.686;"3809";"Fine Sand";"Fine Sand"
3810;0;0.33;15.22;81.81;2.63;"X3810";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";139.927;2.837;69.383;97.365;2.635;"3810";"Fine Sand";"Fine Sand"
3811;0;3.41;66.05;30.32;0.22;"X3811";"Medium Sand,Moderately Sorted,Very Fine Skewed,Mesokurtic";"Sand";306.646;1.95;300.65;99.78;0.22;"3811";"Medium Sand";"Medium Sand"
3814;0.06;1.39;15.7;7.82;75.03;"X3814";"Coarse Silt,Very Poorly Sorted,Coarse Skewed,Platykurtic";"Slightly Gravelly Sandy Mud";15.688;5.546;0.239;24.903;75.034;"3814";NA;"Coarse Silt"
3817;0;1.52;63.9;34.29;0.3;"X3817";"Fine Sand,Moderately Sorted,Very Fine Skewed,Mesokurtic";"Sand";295.512;2.021;263.643;99.704;0.296;"3817";"Fine Sand";"Fine Sand"
3821;0;0.69;2.78;95.7;0.84;"X3821";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";127.901;2.967;59.464;99.165;0.835;"3821";"Fine Sand";"Fine Sand"
3828;0.08;0.12;0.24;98.32;1.25;"X3828";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Slightly Gravelly Sand";124.785;3.002;56.63;98.676;1.249;"3828";"Very Fine Sand";"Very Fine Sand"
3842;0;7.76;44.41;47.64;0.19;"X3842";"Fine Sand,Poorly Sorted,Fine Skewed,Mesokurtic";"Sand";258.611;2.155;195.74;99.809;0.191;"3842";"Fine Sand";"Fine Sand"
3845;0;5.7;20.89;72.78;0.64;"X3845";"Fine Sand,Moderately Sorted,Coarse Skewed,Mesokurtic";"Sand";160.452;2.567;95.767;99.364;0.636;"3845";"Fine Sand";"Fine Sand"
3848;0;12.85;28;58.42;0.74;"X3848";"Fine Sand,Poorly Sorted,Coarse Skewed,Mesokurtic";"Sand";201.427;2.298;140.671;99.263;0.737;"3848";"Fine Sand";"Fine Sand"
