"Point";"Day";"Radius";"Class_1";"Class_2";"Class_3";"c_water";"c_mcrph";"c_shlls";"c_rocks";"c_chnnl";"c_uca";"uc_dnst";"greenss";"mangrov";"obs";"obs2";"Island";"site";"Sed_ID";"X2000";"X500";"X250";"X63";"X0";"Sedimnt";"Texture";"D50_um_";"Mn_fw_p";"Mn_fw_m";"Sand";"mud";"Sd_clss";"Sd_cls1";"Clss_22";"Clss_11";"Class_22";"Clss_33";"covr_vr";"cvr_vr1";"cvr_vrA";"cvr_sd_f";"cvr_sd_g";"WB";"WD";"rocks";"macro";"shells";"sedmnt0";"bsed";"bsed1";"uca"
"121";"17/02/2020";"10";"dry";"sand";NA;10;0;0;0;0;"0";NA;"N";"N";NA;NA;"Urok";"praia_abu";"121";0;0.72;6.16;92.34;0.78;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";131.352;2.928;62.528;99.221;0.779;"Fine Sand";"Fine Sand";"sand";"dry";"sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_sand";"bare_sediment_Fine Sand";"dry";"dry";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"122";"17/02/2020";"30";"wet";NA;"shell";20;0;0;0;0;"0";NA;"N";"N";NA;NA;"Urok";"praia_abu";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"wet";NA;"shell";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_NA";"dry";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"123";"17/02/2020";"15";"wet";NA;"shell";20;0;0;0;0;"0";NA;"N";"N";NA;NA;"Urok";"praia_abu";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"wet";NA;"shell";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_NA";"dry";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"124";"17/02/2020";"30";"wet";NA;"shell";20;0;0;0;0;"0";NA;"N";"N";NA;NA;"Urok";"praia_abu";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"wet";NA;"shell";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_NA";"dry";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"125";"17/02/2020";"20";"wet";NA;"shell";10;0;100;0;0;"0";NA;"N";"N";"sedimento é wet sand";NA;"Urok";"praia_abu";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"wet";NA;"shell";"shell";"shell";"shell";"shell";"shell";"dry";"dry";"other";"other";"shell";NA;"other";"other";"other"
"126";"17/02/2020";"10";"dry";"sand";NA;0;0;10;0;0;"0";NA;"N";"N";"pedaços de conchas partidos pequeno";NA;"Urok";"praia_abu";"126";0;0;28.5;71.3;0.2;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";164.974;2.57;98.333;99.797;0.203;"Fine Sand";"Fine Sand";"sand";"dry";"sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_sand";"bare_sediment_Fine Sand";"dry";"dry";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"127";"17/02/2020";"10";"dry";"sand";NA;0;0;10;0;0;"0";NA;"N";"N";NA;NA;"Urok";"praia_abu";"126";0;0;28.5;71.3;0.2;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";164.974;2.57;98.333;99.797;0.203;"Fine Sand";"Fine Sand";"sand";"dry";"sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_sand";"bare_sediment_Fine Sand";"dry";"dry";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"128";"17/02/2020";"15";"wet";"sand";NA;70;0;0;0;0;"0";NA;"N";"N";"conchas partidas";NA;"Urok";"praia_abu";"128";0;0;27.44;72.04;0.52;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";162.373;2.589;95.426;99.483;0.517;"Fine Sand";"Fine Sand";"sand";"wet";"sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_sand";"bare_sediment_Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"129";"17/02/2020";"25";"wet";NA;"shell";30;0;70;0;0;"0";NA;"N";"N";"sedimento é wet sand";NA;"Urok";"praia_abu";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"wet";NA;"shell";"shell";"shell";"shell";"shell";"shell";"flooded";"wet";"other";"other";"shell";NA;"other";"other";"other"
"130";"17/02/2020";"45";"wet";"sand";NA;30;0;5;0;0;"0";NA;"N";"N";NA;NA;"Urok";"praia_abu";"130";0;0.51;13.2;85.52;0.77;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";139.3;2.844;69.807;99.235;0.765;"Fine Sand";"Fine Sand";"sand";"wet";"sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_sand";"bare_sediment_Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
