"Point","Day","Radius","Class_1","Class_2","Class_3","c_water","c_mcrph","c_shlls","c_rocks","c_chnnl","c_uca","uc_dnst","greenss","mangrov","sed_Id","obs","obs2","Island","site","Sd_ID_1","X2000","X500","X250","X63","X0","sedID","Sedimnt","Texture","D50_um_","Mn_fw_p","Mn_fw_m","Sand","mud","Sd_clss","Sd_cls1","Clss_22","Clss_11","Class_22","Clss_33","covr_vr","cvr_vr1","WB","rocks","macro","shells","sedmnt0","bsed","uca"
"132","18/02/2020","5","dry","sandy_mud","uca",0,0,0,0,0,"100","H","N","N",NA,"uca clara",NA,"Urok","banco_pre_roost",132,0,0.27,1.81,52.87,3.29,"X132","Very Fine Sand,Moderately Sorted,Fine Skewed,Mesokurtic","Sand",123.535,3.017,53.874,94.351,5.649,"Very Fine Sand","Very Fine Sand","sandy_mud","dry","sandy_mud","uca","uca","uca","dry","other","other","other","uca","other","uca"
"133","18/02/2020","5","dry","sandy_mud","uca",0,0,0,0,0,"100","H","N","N","132",NA,NA,"Urok","banco_pre_roost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sandy_mud","dry","sandy_mud","uca","uca","uca","dry","other","other","other","uca","other","uca"
"134","18/02/2020","40","wet","sand",NA,60,0,0,0,0,"0",NA,"N","N","131",NA,NA,"Urok","banco_pre_roost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","flooded","other","other","other","bare_sediment","bare_sediment","other"
"135","18/02/2020","30","wet","sand",NA,70,0,0,0,0,"0",NA,"N","N",NA,"fina camada de mud",NA,"Urok","banco_pre_roost",135,0,0.26,2.15,62.47,2.47,"X135","Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic","Sand",125.416,2.995,56.218,96.333,3.667,"Fine Sand","Fine Sand","sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","flooded","other","other","other","bare_sediment","bare_sediment","other"
"136","18/02/2020","15","dry","mud","uca",0,0,0,0,0,"100","H","N","N",NA,"uca escura",NA,"Urok","banco_pre_roost",136,0,0.43,1.66,54.2,5.25,"X136","Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic","Sand",120.556,3.052,50.356,91.469,8.531,"Very Fine Sand","Very Fine Sand","mud","dry","mud","uca","uca","uca","dry","other","other","other","uca","other","uca"
"137","18/02/2020","20","wet","sand",NA,70,0,0,0,0,"0",NA,"N","N","135","fina camada de mud",NA,"Urok","banco_pre_roost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","flooded","other","other","other","bare_sediment","bare_sediment","other"
"138","18/02/2020","10","dry","mud","uca",5,0,0,0,5,"100","H","N","N",NA,"uca escura",NA,"Urok","banco_pre_roost",138,0,0.03,2.01,36.81,3.39,"X138","Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic","Sand",122.367,3.031,51.942,91.974,8.026,"Very Fine Sand","Very Fine Sand","mud","dry","mud","uca","uca","uca","dry","other","other","other","uca","other","uca"
"139","18/02/2020","20","wet","sand",NA,50,0,0,0,0,"0",NA,"N","N",NA,"tirei sedimento que não tinha mud",NA,"Urok","banco_pre_roost",139,0,0.3,2.16,64.23,1.49,"X139","Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic","Sand",126.812,2.979,57.989,97.815,2.185,"Fine Sand","Fine Sand","sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"140","18/02/2020","5","dry","mud","uca",5,0,0,0,0,"0",NA,"N","N","138",NA,NA,"Urok","banco_pre_roost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mud","dry","mud","uca","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"141","18/02/2020","20","wet","sand",NA,60,0,0,0,0,"0",NA,"N","N","131",NA,NA,"Urok","banco_pre_roost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","flooded","other","other","other","bare_sediment","bare_sediment","other"
"142","18/02/2020","25","wet","sand",NA,50,0,0,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","banco_pre_roost",142,0,0.52,7.03,62.96,0.94,"X142","Fine Sand,Moderately Sorted,Symmetrical,Platykurtic","Sand",134.916,2.89,65.489,98.684,1.316,"Fine Sand","Fine Sand","sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"143","18/02/2020","30","wet","muddy_sand",NA,40,0,0,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","banco_pre_roost",143,0,0.26,3.92,52.53,1.68,"X143","Fine Sand,Moderately Sorted,Symmetrical,Platykurtic","Sand",129.683,2.947,60.151,97.123,2.877,"Fine Sand","Fine Sand","muddy_sand","wet","muddy_sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"144","18/02/2020","50","wet","sand",NA,60,0,0,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","banco_pre_roost",144,0,0.39,1.51,56.84,0.37,"X144","Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic","Sand",127.849,2.967,59.501,99.374,0.626,"Fine Sand","Fine Sand","sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","flooded","other","other","other","bare_sediment","bare_sediment","other"
"145","18/02/2020","35","wet","sand",NA,60,0,0,0,0,"0",NA,"N","N","144",NA,NA,"Urok","banco_pre_roost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","flooded","other","other","other","bare_sediment","bare_sediment","other"
"146","18/02/2020","20","wet","sand",NA,60,0,0,0,0,"0",NA,"N","N","144",NA,NA,"Urok","banco_pre_roost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","flooded","other","other","other","bare_sediment","bare_sediment","other"
"147","18/02/2020","10","dry","mud","uca",5,0,0,0,5,"100","H","N","N",NA,NA,NA,"Urok","banco_pre_roost",147,0,0.56,2.88,37.99,4.18,"X147","Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic","Sand",123.826,3.014,52.52,90.835,9.165,"Very Fine Sand","Very Fine Sand","mud","dry","mud","uca","uca","uca","dry","other","other","other","uca","other","uca"
"148","18/02/2020","10","dry","mud","uca",5,0,0,0,5,"100","H","N","N","147",NA,NA,"Urok","banco_pre_roost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mud","dry","mud","uca","uca","uca","dry","other","other","other","uca","other","uca"
"149","18/02/2020","5","dry","sand","uca",0,0,0,0,0,"100","H","N","N",NA,NA,NA,"Urok","banco_pre_roost",149,0,0.29,4.35,49.4,1.89,"X149","Fine Sand,Moderately Sorted,Symmetrical,Platykurtic","Sand",130.407,2.939,60.546,96.621,3.379,"Fine Sand","Fine Sand","sand","dry","sand","uca","uca","uca","dry","other","other","other","uca","other","uca"
"150","18/02/2020","5","dry","sand","uca",0,0,0,0,0,"100","H","N","N","149",NA,NA,"Urok","banco_pre_roost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","dry","sand","uca","uca","uca","dry","other","other","other","uca","other","uca"
"151","18/02/2020","10","wet","muddy_sand",NA,20,0,10,0,0,"0",NA,"N","N",NA,"fina camada de mud",NA,"Urok","banco_pre_roost",151,0,3.31,32.82,28.88,0.71,"X151","Fine Sand,Moderately Sorted,Very Fine Skewed,Platykurtic","Sand",267.875,2.144,203.299,98.92,1.08,"Fine Sand","Fine Sand","muddy_sand","wet","muddy_sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"152","18/02/2020","10","dry",NA,"gravel",0,0,5,100,0,"0",NA,"N","N",NA,"gravilha com sedimento; 10% de rock grande",NA,"Urok","banco_pre_roost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dry",NA,"gravel","rock","rock","dry","rock","other","other",NA,"other","other"
"153","18/02/2020","5","dry",NA,"rock",0,0,10,90,0,"0",NA,"N","N",NA,"gravilha 10%; rock without oyster",NA,"Urok","banco_pre_roost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dry",NA,"rock","rock","rock","dry","rock","other","other",NA,"other","other"
"154","18/02/2020","15","dry",NA,"gravel",0,0,5,100,0,"0",NA,"N","N",NA,NA,NA,"Urok","banco_pre_roost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dry",NA,"gravel","rock","rock","dry","rock","other","other",NA,"other","other"
"155","18/02/2020","10","dry","sand","uca",0,0,0,0,0,"100","L","N","N",NA,"uca parece temporário",NA,"Urok","banco_pre_roost",155,0,0.34,11.26,50.33,0.74,"X155","Fine Sand,Moderately Sorted,Coarse Skewed,Platykurtic","Sand",145.62,2.754,76.975,98.819,1.181,"Fine Sand","Fine Sand","sand","dry","sand","uca","uca","uca","dry","other","other","other","uca","other","uca"
"156","18/02/2020","5","dry","sand","uca",0,0,0,0,0,"0",NA,"N","N","155",NA,NA,"Urok","banco_pre_roost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","dry","sand","uca","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"157","18/02/2020","20","wet","sand","macroalgae",50,40,0,0,0,"0",NA,"S","N",NA,"brown and green algae",NA,"Urok","banco_pre_roost",157,0,1.17,7.21,48.64,0.35,"X157","Fine Sand,Moderately Sorted,Coarse Skewed,Mesokurtic","Sand",140.622,2.83,71.135,99.39,0.61,"Fine Sand","Fine Sand","sand","wet","sand","macroalgae","macroalgae","macroalgae","dry","other","macroalgae","other",NA,"other","other"
"158","18/02/2020","20","wet","sand","macroalgae",50,40,0,0,0,"0",NA,"S","N","157","brown and green algae",NA,"Urok","banco_pre_roost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","wet","sand","macroalgae","macroalgae","macroalgae","dry","other","macroalgae","other",NA,"other","other"
"159","18/02/2020","20","wet","sand","macroalgae",50,40,0,0,0,"0",NA,"S","N","157","brown and green algae",NA,"Urok","banco_pre_roost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","wet","sand","macroalgae","macroalgae","macroalgae","dry","other","macroalgae","other",NA,"other","other"
"160","18/02/2020","5","dry","sand","uca",0,0,0,0,0,"100","L","N","N","155","uca parece temporário",NA,"Urok","banco_pre_roost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","dry","sand","uca","uca","uca","dry","other","other","other","uca","other","uca"
"161","18/02/2020","5","dry","sand","uca",0,0,0,0,0,"100","L","N","N","155","uca parece temporário",NA,"Urok","banco_pre_roost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","dry","sand","uca","uca","uca","dry","other","other","other","uca","other","uca"
"162","18/02/2020","20","wet","muddy_sand",NA,20,0,0,0,5,"10","H","N","N",NA,NA,NA,"Urok","ilheu_acoco_norte",162,0,0.81,0.79,61.56,1.26,"X162","Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic","Sand",125.978,2.989,57.372,98.044,1.956,"Fine Sand","Fine Sand","muddy_sand","wet","muddy_sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"163","18/02/2020","50","wet","sand",NA,30,0,5,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","ilheu_acoco_norte",163,0,0.18,0.63,47.78,1.39,"X163","Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic","Sand",124.453,3.006,55.772,97.219,2.781,"Very Fine Sand","Very Fine Sand","sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"164","18/02/2020","45","wet","sand",NA,30,0,0,0,0,"0",NA,"N","N","163",NA,NA,"Urok","ilheu_acoco_norte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"165","18/02/2020","50","wet","sand",NA,30,0,0,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","ilheu_acoco_norte",165,0,0.25,5.19,57.93,0.55,"X165","Fine Sand,Moderately Sorted,Symmetrical,Platykurtic","Sand",133.016,2.91,63.983,99.14,0.86,"Fine Sand","Fine Sand","sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"166","18/02/2020","45","wet","sand",NA,30,0,0,0,0,"0",NA,"N","N","165",NA,NA,"Urok","ilheu_acoco_norte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"167","18/02/2020","30","wet","sand",NA,30,0,0,0,0,"0",NA,"N","N","165",NA,NA,"Urok","ilheu_acoco_norte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"168","18/02/2020","25","wet","sand",NA,20,0,0,0,0,"0",NA,"N","N",NA,"Parece ter mais relevo e possível camada de mud por cima",NA,"Urok","ilheu_acoco_norte",168,0,0.52,1.79,59.6,0.73,"X168","Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic","Sand",127.813,2.968,59.257,98.835,1.165,"Fine Sand","Fine Sand","sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
